attempt,test_accuracy,test_loss,test_f1,test_precision,test_recall,final_val_accuracy,achieved_target
1,0.7586206896551724,1.695372686989006,0.7570767136849325,0.7662469307142095,0.7586206896551724,0.7692307692307693,False
2,0.7471264367816092,1.8102891345818837,0.7438929266982548,0.7473205975049437,0.7471264367816092,0.7834757834757835,False
3,0.7528735632183908,1.6017493221951626,0.7578120693164087,0.7897486391586864,0.7528735632183908,0.7435897435897436,False
4,0.7528735632183908,1.5229658018583538,0.752886783625073,0.7626883582632488,0.7528735632183908,0.7777777777777778,False
5,0.764367816091954,1.4882643764046417,0.7643007864817267,0.7698649161217219,0.764367816091954,0.7635327635327636,False
6,0.7471264367816092,1.562967259650943,0.7488673946850032,0.7757322379563466,0.7471264367816092,0.7378917378917379,False
7,0.7701149425287356,1.7666373381326939,0.7694117343099304,0.7854571912761567,0.7701149425287356,0.7692307692307693,False
8,0.7528735632183908,1.68580230282641,0.7514190428560369,0.7868910512276329,0.7528735632183908,0.7948717948717948,False
9,0.764367816091954,1.6366684481330303,0.7628563502590404,0.7931525703866332,0.764367816091954,0.7350427350427351,False
10,0.8045977011494253,1.1514465569935997,0.8031150385110133,0.8138559796134259,0.8045977011494253,0.7435897435897436,False
11,0.7528735632183908,1.443923002001883,0.7524329460980064,0.7547624933266478,0.7528735632183908,0.7606837606837606,False
12,0.7241379310344828,1.7096111712784603,0.72375443636172,0.7348415778105345,0.7241379310344828,0.7578347578347578,False
13,0.7758620689655172,1.6003678345132148,0.7765853685787515,0.7820030934333806,0.7758620689655172,0.7692307692307693,False
14,0.7241379310344828,1.518257330546434,0.7208624852519071,0.7342195870390597,0.7241379310344828,0.7492877492877493,False
15,0.7701149425287356,1.4233983988049386,0.7719781311001971,0.7957025105868119,0.7701149425287356,0.7521367521367521,False
16,0.7758620689655172,1.3300164571438713,0.7779559894441357,0.7986413074010404,0.7758620689655172,0.7720797720797721,False
17,0.764367816091954,1.721738455624416,0.7632470084066328,0.7763059512045314,0.764367816091954,0.7635327635327636,False
18,0.764367816091954,1.4535358897570907,0.7657504285616084,0.7758025308751605,0.764367816091954,0.7663817663817664,False
19,0.7241379310344828,1.5043710836733895,0.7275396382734751,0.7446790253505317,0.7241379310344828,0.7806267806267806,False
20,0.8218390804597702,1.5127761740794128,0.8221842938354078,0.8377638794981594,0.8218390804597702,0.7549857549857549,True
